ZipCode,population,total_units,med_inc,dog_count
10162,2268.0,1323.0,99300.0,22
11040,42634.0,13767.0,140368.0,28
11001,26818.0,9111.0,132344.0,36
11697,3782.0,2785.0,113047.0,39
11411,21605.0,6712.0,108131.0,55
10474,11312.0,3891.0,33157.0,60
11436,21248.0,6229.0,78306.0,61
11429,28643.0,8339.0,89318.0,67
10282,6419.0,2916.0,250001.0,79
10004,4795.0,2760.0,216017.0,80
11363,7424.0,2942.0,98111.0,84
11428,21184.0,6635.0,83417.0,84
11423,30983.0,10546.0,69386.0,85
11366,13922.0,5078.0,100781.0,89
10470,16446.0,6597.0,70107.0,90
11422,34063.0,10649.0,95945.0,92
10464,4417.0,2109.0,118972.0,94
10006,3894.0,2394.0,200536.0,103
11433,41396.0,11633.0,68801.0,116
11412,41782.0,12359.0,93429.0,121
11004,16426.0,5581.0,100174.0,123
11416,27098.0,7903.0,76477.0,123
11413,45661.0,13748.0,104236.0,130
11427,25890.0,8367.0,84000.0,131
11691,70797.0,22563.0,54877.0,134
11692,24639.0,8415.0,53498.0,137
11693,14147.0,5838.0,64688.0,142
11239,15917.0,8179.0,33736.0,143
11419,50107.0,13589.0,84245.0,148
10302,18144.0,6580.0,73927.0,153
11426,20959.0,6681.0,102818.0,159
11432,64858.0,21013.0,66246.0,167
11362,19217.0,7806.0,100528.0,172
10037,19374.0,11150.0,48782.0,174
10044,12155.0,5825.0,115294.0,179
11415,20351.0,9552.0,80360.0,179
11356,27295.0,8697.0,73318.0,185
10307,14828.0,5385.0,117469.0,186
11420,51831.0,14670.0,89027.0,186
10007,8194.0,3887.0,250001.0,189
11694,22432.0,9285.0,88643.0,191
11109,6712.0,4741.0,160898.0,194
10280,8582.0,4891.0,178148.0,197
11434,66424.0,23391.0,66546.0,206
11367,42362.0,15593.0,71469.0,210
10303,27469.0,9384.0,69879.0,210
11210,65854.0,23213.0,77378.0,214
10453,80393.0,28491.0,34860.0,215
10039,27234.0,12294.0,50164.0,219
10030,31611.0,14479.0,42834.0,220
10069,5774.0,3534.0,183178.0,222
10459,51303.0,18268.0,36631.0,223
11369,31550.0,14269.0,66132.0,224
11417,33236.0,9902.0,78498.0,226
10454,38908.0,14769.0,21846.0,231
10005,8637.0,6358.0,197188.0,232
11370,29780.0,11770.0,67241.0,234
11360,20076.0,9833.0,92851.0,239
10466,75767.0,26039.0,62918.0,239
10455,42781.0,16056.0,30741.0,242
11203,79499.0,32290.0,61414.0,245
10310,25976.0,9975.0,96161.0,253
10468,82480.0,28837.0,40138.0,254
11418,38938.0,12166.0,77708.0,256
10452,79838.0,28548.0,33877.0,258
11219,93119.0,27306.0,44450.0,261
11232,28501.0,9845.0,77031.0,266
11354,53375.0,22611.0,52273.0,268
11421,42704.0,12652.0,76721.0,271
10460,59979.0,22513.0,31504.0,284
10018,8063.0,5331.0,130457.0,285
11435,60842.0,20289.0,71346.0,286
10475,44509.0,18764.0,56327.0,286
